season,player_name,team,role,is_overseas,base_price_cr,price_cr,acquisition,ball_name,match_method,matches_played,runs,balls_faced,fours,sixes,dismissals,runs_conceded,balls_bowled,wickets,strike_rate,economy,played
2022,Maheesh Theekshana,CSK,Bowler,True,,0.7,sold,M Theekshana,surname+initial,9.0,7.0,7.0,0.0,1.0,1.0,261.0,210.0,12.0,100.0,7.46,True
2022,Rajvardhan Hangargekar,CSK,All-Rounder,False,,1.5,sold,RS Hangargekar,surname+initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Simarjeet Singh,CSK,Bowler,False,,0.2,sold,Simarjeet Singh,exact,6.0,7.0,8.0,0.0,0.0,1.0,138.0,108.0,4.0,87.5,7.67,True
2022,Devon Conway,CSK,Batter,True,,1.0,sold,DP Conway,surname+initial,7.0,252.0,173.0,23.0,12.0,6.0,0.0,0.0,0.0,145.7,,True
2022,Dwaine Pretorius,CSK,All-Rounder,True,,0.5,sold,D Pretorius,surname+initial,6.0,44.0,28.0,3.0,3.0,4.0,210.0,126.0,6.0,157.1,10.0,True
2022,Mitchell Santner,CSK,All-Rounder,True,,1.9,sold,MJ Santner,surname+initial,6.0,22.0,27.0,3.0,0.0,2.0,130.0,114.0,4.0,81.5,6.84,True
2022,Adam Milne,CSK,Bowler,True,,1.9,sold,AF Milne,surname+initial,1.0,0.0,0.0,0.0,0.0,0.0,19.0,15.0,0.0,,7.6,True
2022,Subhranshu Senapati,CSK,Batter,False,,0.2,sold,,no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Mukesh Choudhary,CSK,Bowler,False,,0.2,sold,Mukesh Choudhary,exact,13.0,6.0,6.0,1.0,0.0,1.0,424.0,273.0,16.0,100.0,9.32,True
2022,Prashant Solanki,CSK,Bowler,False,,1.2,sold,PH Solanki,surname+initial,2.0,0.0,0.0,0.0,0.0,0.0,38.0,36.0,2.0,,6.33,True
2022,K.Bhagath Varma,CSK,All-Rounder,False,,0.2,sold,,manual_no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,David Warner,DC,Batter,True,,6.25,sold,DA Warner,surname+initial,12.0,432.0,287.0,52.0,15.0,9.0,0.0,0.0,0.0,150.5,,True
2022,Mitchell Marsh,DC,All-Rounder,True,,6.5,sold,MR Marsh,surname+initial,8.0,251.0,189.0,19.0,14.0,8.0,102.0,72.0,4.0,132.8,8.5,True
2022,Mustafizur Rahman,DC,Bowler,True,,2.0,sold,Mustafizur Rahman,exact,8.0,3.0,5.0,0.0,0.0,0.0,244.0,192.0,8.0,60.0,7.62,True
2022,Shardul Thakur,DC,Bowler,False,,10.75,sold,SN Thakur,surname+initial,14.0,120.0,87.0,7.0,7.0,8.0,473.0,290.0,15.0,137.9,9.79,True
2022,Kuldeep Yadav,DC,Bowler,False,,2.0,sold,Kuldeep Yadav,exact,14.0,48.0,52.0,3.0,2.0,1.0,419.0,298.0,21.0,92.3,8.44,True
2022,Ashwin Hebbar,DC,Batter,False,,0.2,sold,,no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Sarfaraz Khan,DC,All-Rounder,False,,0.2,sold,SN Khan,surname+initial,5.0,91.0,67.0,9.0,2.0,3.0,0.0,0.0,0.0,135.8,,True
2022,Kamlesh Nagarkoti,DC,All-Rounder,False,,1.1,sold,KL Nagarkoti,surname+initial,1.0,0.0,0.0,0.0,0.0,0.0,29.0,12.0,0.0,,14.5,True
2022,K.S. Bharat,DC,Wicketkeeper,False,,2.0,sold,KS Bharat,last_name_unique,2.0,8.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,114.3,,True
2022,Mandeep Singh,DC,Batter,False,,1.1,sold,Mandeep Singh,exact,3.0,18.0,23.0,4.0,0.0,3.0,0.0,0.0,0.0,78.3,,True
2022,Syed Khaleel Ahmed,DC,Bowler,False,,5.25,sold,KK Ahmed,manual,10.0,0.0,2.0,0.0,0.0,2.0,315.0,235.0,16.0,0.0,8.04,True
2022,Lungisani Ngidi,DC,Bowler,True,,0.5,sold,L Ngidi,surname+initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Chetan Sakariya,DC,Bowler,False,,4.2,sold,C Sakariya,surname+initial,3.0,0.0,0.0,0.0,0.0,0.0,84.0,66.0,3.0,,7.64,True
2022,Yash Dhull,DC,All-Rounder,False,,0.5,sold,YV Dhull,surname+initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Vicky Ostwal,DC,All-Rounder,False,,0.2,sold,,no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Ripal Patel,DC,All-Rounder,False,,0.2,sold,RV Patel,surname+initial,1.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,200.0,,True
2022,Lalit Yadav,DC,All-Rounder,False,,0.65,sold,Lalit Yadav,exact,10.0,161.0,146.0,11.0,7.0,7.0,150.0,108.0,4.0,110.3,8.33,True
2022,Rovman Powell,DC,Batter,True,,2.8,sold,R Powell,surname+initial,12.0,250.0,167.0,10.0,22.0,10.0,17.0,6.0,0.0,149.7,17.0,True
2022,Tim Seifert,DC,Wicketkeeper,True,,0.5,sold,TL Seifert,surname+initial,2.0,24.0,19.0,4.0,0.0,2.0,0.0,0.0,0.0,126.3,,True
2022,Pravin Dubey,DC,All-Rounder,False,,0.5,sold,P Dubey,surname+initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Mohammad Shami,GT,Bowler,False,,6.25,sold,Mohammed Shami,surname+initial,16.0,0.0,0.0,0.0,0.0,0.0,488.0,366.0,20.0,,8.0,True
2022,David Miller,GT,Batter,True,,3.0,sold,DA Miller,surname+initial,16.0,481.0,337.0,32.0,23.0,7.0,0.0,0.0,0.0,142.7,,True
2022,Jason Roy,GT,Batter,True,,2.0,sold,JJ Roy,surname+initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Wriddhiman Saha,GT,Wicketkeeper,False,,1.9,sold,WP Saha,surname+initial,11.0,317.0,259.0,40.0,7.0,10.0,0.0,0.0,0.0,122.4,,True
2022,Matthew Wade,GT,Wicketkeeper,True,,2.4,sold,MS Wade,surname+initial,10.0,157.0,138.0,23.0,2.0,10.0,0.0,0.0,0.0,113.8,,True
2022,Lockie Ferguson,GT,Bowler,True,,10.0,sold,LH Ferguson,surname+initial,13.0,5.0,4.0,1.0,0.0,2.0,427.0,286.0,12.0,125.0,8.96,True
2022,Abhinav Sadarangani,GT,Batter,False,,2.6,sold,A Manohar,manual,7.0,108.0,75.0,14.0,3.0,6.0,0.0,0.0,0.0,144.0,,True
2022,Rahul Tewatia,GT,All-Rounder,False,,9.0,sold,R Tewatia,surname+initial,13.0,217.0,147.0,22.0,9.0,7.0,76.0,36.0,0.0,147.6,12.67,True
2022,Noor Ahmad,GT,Bowler,True,,0.3,sold,Noor Ahmad,exact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,R. Sai Kishore,GT,Bowler,False,,3.0,sold,R Sai Kishore,exact,5.0,0.0,0.0,0.0,0.0,0.0,121.0,96.0,6.0,,7.56,True
2022,Dominic Drakes,GT,All-Rounder,True,,1.1,sold,,no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Vijay Shankar,GT,All-Rounder,False,,1.4,sold,V Shankar,surname+initial,4.0,19.0,35.0,1.0,0.0,4.0,15.0,9.0,0.0,54.3,10.0,True
2022,Jayant Yadav,GT,All-Rounder,False,,1.7,sold,J Yadav,surname+initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Darshan Nalkande,GT,All-Rounder,False,,0.2,sold,DG Nalkande,surname+initial,2.0,0.0,0.0,0.0,0.0,0.0,59.0,31.0,2.0,,11.42,True
2022,Yash Dayal,GT,Bowler,False,,3.2,sold,Yash Dayal,exact,9.0,0.0,1.0,0.0,0.0,1.0,296.0,192.0,11.0,0.0,9.25,True
2022,B. Sai Sudharsan,GT,All-Rounder,False,,0.2,sold,B Sai Sudharsan,exact,5.0,145.0,114.0,14.0,3.0,4.0,0.0,0.0,0.0,127.2,,True
2022,Gurkeerat Singh,GT,All-Rounder,False,,0.5,sold,Gurkeerat Singh,exact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Alzarri Joseph,GT,Bowler,True,,2.4,sold,AS Joseph,surname+initial,9.0,5.0,7.0,0.0,0.0,1.0,264.0,180.0,7.0,71.4,8.8,True
2022,Varun Aaron,GT,Bowler,False,,0.5,sold,VR Aaron,surname+initial,2.0,0.0,0.0,0.0,0.0,0.0,52.0,30.0,2.0,,10.4,True
2022,Pradeep Sangwan,GT,All-Rounder,False,,0.2,sold,PJ Sangwan,surname+initial,3.0,2.0,5.0,0.0,0.0,1.0,65.0,54.0,3.0,40.0,7.22,True
2022,Pat Cummins,KKR,All-Rounder,True,,7.25,sold,PJ Cummins,surname+initial,5.0,63.0,24.0,5.0,6.0,4.0,212.0,119.0,7.0,262.5,10.69,True
2022,Shreyas Iyer,KKR,Batter,False,,12.25,sold,SS Iyer,surname+initial,14.0,401.0,298.0,41.0,11.0,13.0,7.0,6.0,0.0,134.6,7.0,True
2022,Mohammad Nabi,KKR,All-Rounder,True,,1.0,sold,Mohammad Nabi,exact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Nitish Rana,KKR,All-Rounder,False,,8.0,sold,N Rana,surname+initial,14.0,361.0,251.0,29.0,22.0,13.0,23.0,12.0,0.0,143.8,11.5,True
2022,Sam Billings,KKR,Wicketkeeper,True,,2.0,sold,SW Billings,surname+initial,8.0,169.0,138.0,9.0,10.0,7.0,0.0,0.0,0.0,122.5,,True
2022,Umesh Yadav,KKR,Bowler,False,,2.0,sold,UT Yadav,surname+initial,12.0,55.0,40.0,4.0,4.0,4.0,339.0,288.0,16.0,137.5,7.06,True
2022,Shivam Mavi,KKR,All-Rounder,False,,7.25,sold,Shivam Mavi,exact,6.0,3.0,7.0,0.0,0.0,2.0,227.0,132.0,5.0,42.9,10.32,True
2022,Sheldon Jackson,KKR,Wicketkeeper,False,,0.6,sold,SP Jackson,surname+initial,5.0,23.0,26.0,0.0,1.0,4.0,0.0,0.0,0.0,88.5,,True
2022,Ajinkya Rahane,KKR,Batter,False,,1.0,sold,AM Rahane,surname+initial,7.0,133.0,128.0,14.0,4.0,7.0,0.0,0.0,0.0,103.9,,True
2022,Rinku Singh,KKR,Batter,False,,0.55,sold,RK Singh,manual,7.0,174.0,117.0,17.0,7.0,5.0,0.0,0.0,0.0,148.7,,True
2022,Anukul Roy,KKR,All-Rounder,False,,0.2,sold,AS Roy,surname+initial,2.0,0.0,2.0,0.0,0.0,1.0,55.0,42.0,1.0,0.0,7.86,True
2022,Alex Hales,KKR,Batter,True,,1.5,sold,AD Hales,surname+initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Rasikh Dar,KKR,Bowler,False,,0.2,sold,,no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Tim Southee,KKR,Bowler,True,,1.5,sold,TG Southee,surname+initial,9.0,2.0,12.0,0.0,0.0,4.0,275.0,210.0,14.0,16.7,7.86,True
2022,Baba Indrajith,KKR,Wicketkeeper,False,,0.2,sold,B Indrajith,surname+initial,3.0,21.0,30.0,2.0,0.0,3.0,0.0,0.0,0.0,70.0,,True
2022,Chamika Karunaratne,KKR,All-Rounder,True,,0.5,sold,,no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Abhijeet Tomar,KKR,Batter,False,,0.4,sold,A Tomar,surname+initial,1.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,,True
2022,Aman Khan,KKR,All-Rounder,False,,0.2,sold,,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Ramesh Kumar,KKR,Batter,False,,0.2,sold,,no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Pratham Singh,KKR,Batter,False,,0.2,sold,Pankaj Singh,surname+initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Ashok Sharma,KKR,Bowler,False,,0.55,sold,,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Quinton De Kock,LSG,Wicketkeeper,True,,6.75,sold,Q de Kock,surname+initial,15.0,508.0,341.0,47.0,23.0,14.0,0.0,0.0,0.0,149.0,,True
2022,Manish Pandey,LSG,Batter,False,,4.6,sold,MK Pandey,surname+initial,6.0,88.0,80.0,9.0,2.0,6.0,0.0,0.0,0.0,110.0,,True
2022,Jason Holder,LSG,All-Rounder,True,,8.75,sold,JO Holder,surname+initial,12.0,58.0,44.0,2.0,6.0,6.0,391.0,249.0,14.0,131.8,9.42,True
2022,Deepak Hooda,LSG,All-Rounder,False,,5.75,sold,DJ Hooda,surname+initial,14.0,451.0,330.0,36.0,18.0,14.0,43.0,24.0,1.0,136.7,10.75,True
2022,Krunal Pandya,LSG,All-Rounder,False,,8.25,sold,KH Pandya,surname+initial,14.0,183.0,145.0,16.0,4.0,9.0,265.0,228.0,10.0,126.2,6.97,True
2022,Mark Wood,LSG,Bowler,True,,7.5,sold,MA Wood,surname+initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Avesh Khan,LSG,Bowler,False,,10.0,sold,Avesh Khan,exact,13.0,22.0,13.0,0.0,3.0,1.0,416.0,286.0,18.0,169.2,8.73,True
2022,Ankit Singh Rajpoot,LSG,Bowler,False,,0.5,sold,AS Rajpoot,last_name_unique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,K. Gowtham,LSG,All-Rounder,False,,0.9,sold,K Gowtham,exact,4.0,0.0,1.0,0.0,0.0,1.0,99.0,72.0,5.0,0.0,8.25,True
2022,Dushmanta Chameera,LSG,Bowler,True,,2.0,sold,PVD Chameera,manual,12.0,43.0,28.0,3.0,3.0,4.0,384.0,264.0,9.0,153.6,8.73,True
2022,Shahbaz Nadeem,LSG,Bowler,False,,0.5,sold,S Nadeem,surname+initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Manan Vohra,LSG,Batter,False,,0.2,sold,M Vohra,surname+initial,1.0,19.0,11.0,1.0,2.0,1.0,0.0,0.0,0.0,172.7,,True
2022,Evin Lewis,LSG,Batter,True,,2.0,sold,E Lewis,surname+initial,5.0,73.0,56.0,8.0,3.0,3.0,0.0,0.0,0.0,130.4,,True
2022,Mohsin Khan,LSG,Bowler,False,,0.2,sold,Mohsin Khan,exact,9.0,23.0,16.0,2.0,1.0,1.0,197.0,198.0,14.0,143.8,5.97,True
2022,Mayank Yadav,LSG,Bowler,False,,0.2,sold,MP Yadav,surname+initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Ayush Badoni,LSG,All-Rounder,False,,0.2,sold,A Badoni,surname+initial,11.0,161.0,130.0,11.0,7.0,8.0,11.0,12.0,2.0,123.8,5.5,True
2022,Kyle Mayers,LSG,All-Rounder,True,,0.5,sold,KR Mayers,surname+initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Karan Sharma,LSG,All-Rounder,False,,0.2,sold,,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Ishan Kishan,MI,Wicketkeeper,False,,15.25,sold,Ishan Kishan,exact,14.0,418.0,348.0,45.0,11.0,13.0,0.0,0.0,0.0,120.1,,True
2022,Dewald Brevis,MI,Batter,True,,3.0,sold,D Brevis,surname+initial,7.0,161.0,113.0,14.0,11.0,7.0,8.0,3.0,1.0,142.5,16.0,True
2022,Anmolpreet Singh,MI,Batter,False,,0.2,sold,Anmolpreet Singh,exact,2.0,13.0,13.0,1.0,0.0,2.0,0.0,0.0,0.0,100.0,,True
2022,Basil Thampi,MI,Bowler,False,,0.3,sold,Basil Thampi,exact,5.0,0.0,0.0,0.0,0.0,0.0,152.0,96.0,5.0,,9.5,True
2022,Murugan Ashwin,MI,Bowler,False,,1.6,sold,M Ashwin,surname+initial,8.0,12.0,14.0,1.0,1.0,3.0,228.0,174.0,9.0,85.7,7.86,True
2022,Jaydev Unadkat,MI,Bowler,False,,1.3,sold,JD Unadkat,surname+initial,5.0,59.0,37.0,4.0,3.0,3.0,190.0,120.0,6.0,159.5,9.5,True
2022,Mayank Markande,MI,Bowler,False,,0.65,sold,M Markande,surname+initial,2.0,0.0,0.0,0.0,0.0,0.0,57.0,42.0,1.0,,8.14,True
2022,N. Tilak Varma,MI,All-Rounder,False,,1.7,sold,Tilak Varma,fuzzy,14.0,397.0,303.0,29.0,16.0,11.0,13.0,12.0,0.0,131.0,6.5,True
2022,Sanjay Yadav,MI,All-Rounder,False,,0.5,sold,SA Yadav,surname+initial,8.0,303.0,208.0,23.0,16.0,7.0,0.0,0.0,0.0,145.7,,True
2022,Jofra Archer,MI,All-Rounder,True,,8.0,sold,JC Archer,surname+initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Daniel Sams,MI,All-Rounder,True,,2.6,sold,DR Sams,surname+initial,11.0,38.0,36.0,1.0,3.0,7.0,370.0,252.0,13.0,105.6,8.81,True
2022,Tymal Mills,MI,Bowler,True,,1.5,sold,TS Mills,surname+initial,5.0,0.0,3.0,0.0,0.0,1.0,190.0,102.0,6.0,0.0,11.18,True
2022,Tim David,MI,All-Rounder,True,,8.25,sold,TH David,surname+initial,8.0,186.0,86.0,12.0,16.0,5.0,0.0,0.0,0.0,216.3,,True
2022,Ramandeep Singh,MI,All-Rounder,False,,0.2,sold,Ramandeep Singh,exact,5.0,45.0,40.0,3.0,1.0,2.0,54.0,36.0,6.0,112.5,9.0,True
2022,Aryan Juyal,MI,Wicketkeeper,False,,0.2,sold,,no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Fabian Allen,MI,All-Rounder,True,,0.75,sold,FA Allen,surname+initial,1.0,8.0,7.0,1.0,0.0,1.0,46.0,24.0,1.0,114.3,11.5,True
2022,Riley Meredith,MI,Bowler,True,,1.0,sold,RP Meredith,surname+initial,8.0,0.0,1.0,0.0,0.0,0.0,236.0,168.0,8.0,0.0,8.43,True
2022,Rahul Buddhi,MI,Batter,False,,0.2,sold,,no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Hrithik Shokeen,MI,All-Rounder,False,,0.2,sold,HR Shokeen,surname+initial,5.0,43.0,48.0,5.0,0.0,2.0,127.0,90.0,2.0,89.6,8.47,True
2022,Mohd. Arshad Khan,MI,All-Rounder,False,,0.2,sold,,no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Arjun Tendulkar,MI,All-Rounder,False,,0.3,sold,Arjun Tendulkar,exact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Shikhar Dhawan,PBKS,Batter,False,,8.25,sold,S Dhawan,surname+initial,14.0,460.0,375.0,47.0,12.0,12.0,0.0,0.0,0.0,122.7,,True
2022,Kagiso Rabada,PBKS,Bowler,True,,9.25,sold,K Rabada,surname+initial,13.0,48.0,43.0,5.0,2.0,5.0,406.0,288.0,23.0,111.6,8.46,True
2022,Jonny Bairstow,PBKS,Wicketkeeper,True,,6.75,sold,JM Bairstow,surname+initial,11.0,253.0,175.0,34.0,9.0,11.0,0.0,0.0,0.0,144.6,,True
2022,Rahul Chahar,PBKS,Bowler,False,,5.25,sold,RD Chahar,surname+initial,13.0,77.0,68.0,7.0,4.0,6.0,360.0,280.0,14.0,113.2,7.71,True
2022,Harpreet Brar,PBKS,All-Rounder,False,,3.8,sold,Harpreet Brar,exact,5.0,22.0,25.0,1.0,2.0,3.0,146.0,96.0,4.0,88.0,9.12,True
2022,Shahrukh Khan,PBKS,All-Rounder,False,,9.0,sold,M Shahrukh Khan,manual,8.0,117.0,108.0,4.0,9.0,7.0,0.0,0.0,0.0,108.3,,True
2022,Jitesh Sharma,PBKS,Wicketkeeper,False,,0.2,sold,,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Prabhsimran Singh,PBKS,Wicketkeeper,False,,0.6,sold,Pankaj Singh,surname+initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Ishan Porel,PBKS,Bowler,False,,0.25,sold,IC Porel,surname+initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Liam Livingstone,PBKS,All-Rounder,True,,11.5,sold,LS Livingstone,surname+initial,14.0,437.0,240.0,29.0,34.0,12.0,202.0,138.0,6.0,182.1,8.78,True
2022,Odean Smith,PBKS,All-Rounder,True,,6.0,sold,OF Smith,surname+initial,6.0,51.0,44.0,1.0,5.0,3.0,178.0,90.0,6.0,115.9,11.87,True
2022,Sandeep Sharma,PBKS,Bowler,False,,0.5,sold,Sandeep Sharma,exact,5.0,0.0,0.0,0.0,0.0,0.0,153.0,120.0,2.0,,7.65,True
2022,Raj Angad Bawa,PBKS,All-Rounder,False,,2.0,sold,RA Bawa,last_name_unique,2.0,11.0,14.0,1.0,0.0,2.0,0.0,0.0,0.0,78.6,,True
2022,Rishi Dhawan,PBKS,All-Rounder,False,,0.55,sold,R Dhawan,surname+initial,6.0,37.0,40.0,4.0,2.0,2.0,156.0,114.0,6.0,92.5,8.21,True
2022,Nathan Ellis,PBKS,Bowler,True,,0.75,sold,NT Ellis,surname+initial,2.0,0.0,2.0,0.0,0.0,1.0,55.0,36.0,3.0,0.0,9.17,True
2022,Prerak Mankad,PBKS,All-Rounder,False,,0.2,sold,PN Mankad,surname+initial,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,400.0,,True
2022,Atharva Taide,PBKS,All-Rounder,False,,0.2,sold,Atharva Taide,exact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Vaibhav Arora,PBKS,Bowler,False,,2.0,sold,VG Arora,surname+initial,5.0,5.0,13.0,0.0,0.0,2.0,164.0,107.0,3.0,38.5,9.2,True
2022,Bhanuka Rajapaksa,PBKS,Batter,True,,0.5,sold,PBB Rajapaksa,manual,9.0,206.0,129.0,16.0,13.0,9.0,0.0,0.0,0.0,159.7,,True
2022,Benny Howell,PBKS,All-Rounder,True,,0.4,sold,,no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Writtick Chatterjee,PBKS,All-Rounder,False,,0.2,sold,,no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Baltej Dhanda,PBKS,Bowler,False,,0.2,sold,,no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,Ansh Patel,PBKS,All-Rounder,False,,0.2,sold,,manual_no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,R. Ashwin,RR,All-Rounder,False,,5.0,sold,R Ashwin,exact,17.0,191.0,135.0,14.0,9.0,7.0,503.0,402.0,12.0,141.5,7.51,True
2022,Trent Boult,RR,Bowler,True,,8.0,sold,TA Boult,surname+initial,16.0,40.0,29.0,2.0,1.0,2.0,492.0,372.0,16.0,137.9,7.94,True
2022,Shimron Hetmyer,RR,Batter,True,,8.5,sold,SO Hetmyer,surname+initial,15.0,314.0,204.0,21.0,21.0,7.0,0.0,0.0,0.0,153.9,,True
2022,Devdutt Padikkal,RR,Batter,False,,7.75,sold,D Padikkal,surname+initial,17.0,376.0,306.0,41.0,14.0,17.0,0.0,0.0,0.0,122.9,,True
2022,Prasidh Krishna,RR,Bowler,False,,10.0,sold,M Prasidh Krishna,last_name_unique,17.0,6.0,12.0,0.0,0.0,1.0,551.0,399.0,19.0,50.0,8.29,True
2022,Yuzvendra Chahal,RR,Bowler,False,,6.5,sold,YS Chahal,surname+initial,17.0,5.0,8.0,0.0,0.0,1.0,527.0,408.0,27.0,62.5,7.75,True
2022,Riyan Parag,RR,All-Rounder,False,,3.8,sold,R Parag,surname+initial,15.0,183.0,132.0,11.0,10.0,11.0,59.0,24.0,1.0,138.6,14.75,True
2022,K.C Cariappa,RR,Bowler,False,,0.3,sold,KC Cariappa,last_name_unique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
2022,James Neesham,RR,All-Rounder,True,,1.5,sold,JDS Neesham,surname+initial,2.0,31.0,27.0,3.0,0.0,2.0,29.0,18.0,0.0,114.8,9.67,True
2022,Nathan Coulter-Nile,RR,Bowler,True,,2.0,sold,NM Coulter-Nile,surname+initial,1.0,1.0,2.0,0.0,0.0,0.0,48.0,18.0,0.0,50.0,16.0,True
2022,Navdeep Saini,RR,Bowler,False,,2.6,sold,Navdeep Saini,exact,2.0,2.0,2.0,0.0,0.0,1.0,72.0,36.0,3.0,100.0,12.0,True
2022,Kuldeep Sen,RR,Bowler,False,,0.2,sold,KR Sen,surname+initial,7.0,0.0,3.0,0.0,0.0,0.0,237.0,151.0,8.0,0.0,9.42,True
2022,Karun Nair,RR,Batter,False,,1.4,sold,KK Nair,surname+initial,2.0,16.0,18.0,1.0,0.0,2.0,0.0,0.0,0.0,88.9,,True
2022,Rassie Van Der Dussen,RR,Batter,True,,1.0,sold,HE van der Dussen,manual,3.0,22.0,24.0,2.0,0.0,2.0,0.0,0.0,0.0,91.7,,True
